Ticker,Run,Seq,R2,MAE
MSFT,1,5,0.9775992111367788,0.01897697051270185
MSFT,2,5,0.9686717473501155,0.022499471171214855
MSFT,3,5,0.9692800196664039,0.02229518971180034
MSFT,4,5,0.9582844890388454,0.026562852214286482
MSFT,5,5,0.9735518870337879,0.020560207496359045
MSFT,6,5,0.9573965974943109,0.02688068229718038
MSFT,7,5,0.9412415741358711,0.03257489450133304
MSFT,8,5,0.9790260008504914,0.019137248862762565
MSFT,9,5,0.9769066019397622,0.01904583181686137
MSFT,10,5,0.9713901548214249,0.021324309467263092
DIS,1,5,0.8811424497141729,0.01858322078285228
DIS,2,5,0.8593288710554803,0.020354116560510966
DIS,3,5,0.887068938512749,0.018418119992249567
DIS,4,5,0.8761559400425303,0.019599102608238963
DIS,5,5,0.9184830659180375,0.015205419813474091
DIS,6,5,0.8336011428962782,0.023032409483564553
DIS,7,5,0.8863935853844218,0.018075778442656273
DIS,8,5,0.9094847324237418,0.016139382926238434
DIS,9,5,0.9358785886639841,0.012901828239559019
DIS,10,5,0.8846055404691084,0.018510500124673916
WMT,1,5,0.8791914700472436,0.03457188134837442
WMT,2,5,0.8814551582648072,0.033160553438372285
WMT,3,5,0.9236588951840625,0.025923263803287692
WMT,4,5,0.9462676799943339,0.020870715543308008
WMT,5,5,0.9441813655288374,0.021440660214480205
WMT,6,5,0.9400411819348209,0.02219638055247872
WMT,7,5,0.9056579386680867,0.029171239038677098
WMT,8,5,0.8525155120343171,0.03833366629585192
WMT,9,5,0.9558463724892681,0.018578466736511492
WMT,10,5,0.8483778554454808,0.0395409862522005
