Ticker,Run,Seq,R2,MAE
MSFT,1,5,0.9757131957795625,0.01973900220907694
MSFT,2,5,0.9663972981885559,0.023561852842347693
MSFT,3,5,0.9589414081377815,0.026181254320784726
MSFT,4,5,0.9779900569961589,0.01878037795499765
MSFT,5,5,0.9762669833563078,0.019572456172224955
MSFT,6,5,0.961209854250764,0.02558854966856258
MSFT,7,5,0.970823614769493,0.02152400299772412
MSFT,8,5,0.9749515490201135,0.01994028456294533
MSFT,9,5,0.9359776359161814,0.03502379674211336
MSFT,10,5,0.9739057324993345,0.02008861395963463
DIS,1,5,0.9026117112352563,0.016618625434159765
DIS,2,5,0.9076957388710281,0.01600203070875797
DIS,3,5,0.8978363381462591,0.016881797614971758
DIS,4,5,0.8913332497004061,0.017700846310245422
DIS,5,5,0.8725102922627548,0.019443454268628244
DIS,6,5,0.93441306099259,0.0136656712340863
DIS,7,5,0.9274035182436315,0.014516049597029177
DIS,8,5,0.9013357128914996,0.01673561568650307
DIS,9,5,0.8234617969227019,0.02383148218389945
DIS,10,5,0.7993507326757704,0.0253129982967004
WMT,1,5,0.935390624398377,0.022733179123981245
WMT,2,5,0.9452576576497502,0.020447610760917282
WMT,3,5,0.9407477486801602,0.0216416755293284
WMT,4,5,0.8193547971865612,0.04348534985300161
WMT,5,5,0.9250557869317464,0.02553109092066094
WMT,6,5,0.8865016200012756,0.03178326101725827
WMT,7,5,0.9307160202581047,0.023559432202863453
WMT,8,5,0.9096548000178755,0.02790757660165239
WMT,9,5,0.9248979486550404,0.02498069828541485
WMT,10,5,0.8726114155440565,0.03406834367564648
