Ticker,Run,Seq,R2,MAE
MSFT,1,20,0.9390286622089061,0.029161540816560885
MSFT,2,20,0.9690547075381644,0.02012529874084381
MSFT,3,20,0.9612637426397824,0.022336292370388824
MSFT,4,20,0.967025943539615,0.020354780926229884
MSFT,5,20,0.9766522525144145,0.01732256593265384
MSFT,6,20,0.9714247545939088,0.018942064562993216
MSFT,7,20,0.9189078422119925,0.034846323437519255
MSFT,8,20,0.9762848980622139,0.0171216111727821
MSFT,9,20,0.9699808502385535,0.019973056511328607
MSFT,10,20,0.9589800980178531,0.023298214202016342
DIS,1,20,0.8914943150473146,0.017064563210282612
DIS,2,20,0.9147355559054867,0.014922538624495267
DIS,3,20,0.9165530841281946,0.01453679279289382
DIS,4,20,0.9228084620932202,0.014158223054496223
DIS,5,20,0.8976095830927596,0.016278912313591798
DIS,6,20,0.8471585718127791,0.020731793191457064
DIS,7,20,0.9157458592041934,0.014827077743554498
DIS,8,20,0.8872929261080515,0.017067288742163123
DIS,9,20,0.8970825319086896,0.01661476886002061
DIS,10,20,0.8201584512187234,0.02251533946820712
WMT,1,20,0.7172902280771771,0.05062147782687385
WMT,2,20,0.9034541689246188,0.02766224785354711
WMT,3,20,0.7332524792516616,0.04902554664573686
WMT,4,20,0.4916632248361662,0.06814144109939035
WMT,5,20,0.8530394747939696,0.03499815288099701
WMT,6,20,0.8751666560507323,0.032018784324751505
WMT,7,20,0.5661247257379602,0.06545884661173777
WMT,8,20,0.8070323922260451,0.04228836353470176
WMT,9,20,0.7388838085421046,0.045558719253258294
WMT,10,20,0.9276105244435016,0.0231046479658853
