Ticker,Run,Seq,R2,MAE
MSFT,1,10,0.9359184800145327,0.03353363927365409
MSFT,2,10,0.9590096758714237,0.025141102555025725
MSFT,3,10,0.9371981811639767,0.03280364304617037
MSFT,4,10,0.9721668493005206,0.021275692795893142
MSFT,5,10,0.9638307990498953,0.02334874299023668
MSFT,6,10,0.9597897535097789,0.024849768947701693
MSFT,7,10,0.9667021175098239,0.023413476105287115
MSFT,8,10,0.9510463450701047,0.028211644102653675
MSFT,9,10,0.964480991600132,0.02342478658896962
MSFT,10,10,0.9741622862137207,0.01937835455931726
DIS,1,10,0.8916553095907871,0.018042916571815993
DIS,2,10,0.893068395604868,0.017781522798754907
DIS,3,10,0.8477331601894906,0.02182009120115922
DIS,4,10,0.7950487232719353,0.026114012448614582
DIS,5,10,0.8976009787320559,0.01737818976120973
DIS,6,10,0.9007909607311817,0.01680858560819956
DIS,7,10,0.880341765040882,0.018646589240744502
DIS,8,10,0.8227612403991293,0.023616366751433377
DIS,9,10,0.8985531361920811,0.016984794403867364
DIS,10,10,0.9098391188909705,0.01607077874333543
WMT,1,10,0.8648199694380393,0.0356932001961706
WMT,2,10,0.900650093798152,0.028784110684149822
WMT,3,10,0.926213436299684,0.024356304956662224
WMT,4,10,0.9245310422444573,0.024624742550990248
WMT,5,10,0.9206143893616566,0.025439808122373838
WMT,6,10,0.8930006335921101,0.03043671951446671
WMT,7,10,0.8158606943219497,0.04287238094639492
WMT,8,10,0.8202941512612703,0.04080519367119526
WMT,9,10,0.8519468704619038,0.038468517499199266
WMT,10,10,0.9300444357261353,0.02358470691906383
