Ticker,Run,Seq,R2,MAE
MSFT,1,20,0.9623565686329224,0.02242909581695578
MSFT,2,20,0.8433884514610892,0.05116884493618839
MSFT,3,20,0.9582466751955755,0.024005682925969545
MSFT,4,20,0.9405166151382262,0.029173602147258604
MSFT,5,20,0.9777006181142668,0.016947939605431044
MSFT,6,20,0.9334312844223729,0.030628119391255294
MSFT,7,20,0.8953546632330774,0.04147577665135573
MSFT,8,20,0.9558898690378503,0.024506144558575596
MSFT,9,20,0.944055713302397,0.028218108363452458
MSFT,10,20,0.8889263498895844,0.04251728247351404
DIS,1,20,0.8432261109096871,0.020820546567910773
DIS,2,20,0.8287891721088669,0.021639153188585315
DIS,3,20,0.8085185018283166,0.023451890826553374
DIS,4,20,0.9114532974680045,0.015082689849159748
DIS,5,20,0.921179684924357,0.013899784652036808
DIS,6,20,0.8889077790673755,0.017336833782189802
DIS,7,20,0.8945435623551278,0.01681600233237256
DIS,8,20,0.9175815709215285,0.014729559366751334
DIS,9,20,0.8522552223802903,0.020324075856687558
DIS,10,20,0.7934214002552277,0.024135249623722044
WMT,1,20,0.8658868225929556,0.033521805127084886
WMT,2,20,0.9268927635084723,0.023385743894715927
WMT,3,20,0.8845989785334476,0.03154439788872753
WMT,4,20,0.6542411982825196,0.055222782973356796
WMT,5,20,0.9208755616297254,0.024393362113248697
WMT,6,20,0.8990323465020928,0.028280505320476917
WMT,7,20,0.6335540311007934,0.057374925572886364
WMT,8,20,0.8435899536176423,0.03529552612844354
WMT,9,20,0.8013462217035688,0.04098625382325747
WMT,10,20,0.9166380018271608,0.025377574224071792
