Ticker,Run,Seq,R2,MAE
MSFT,1,5,0.9799983924760269,0.017945961745336057
MSFT,2,5,0.9215615162392452,0.03942300653043375
MSFT,3,5,0.9812291206197105,0.017278120669759835
MSFT,4,5,0.9384570697998464,0.03432960546791843
MSFT,5,5,0.9805668288096925,0.017684013372522032
MSFT,6,5,0.9663889979925925,0.02426256707115496
MSFT,7,5,0.9791824869368676,0.01837965804247412
MSFT,8,5,0.9550467941525412,0.02843641479294743
MSFT,9,5,0.98002772823204,0.017912949022460746
MSFT,10,5,0.9810935724196317,0.017442620842232696
DIS,1,5,0.9382676839629871,0.012772756480505302
DIS,2,5,0.9168533874021843,0.015417220543204789
DIS,3,5,0.8871724454802774,0.018313301035020362
DIS,4,5,0.8915818361835076,0.017911026797789317
DIS,5,5,0.8895476758958916,0.017974410425891835
DIS,6,5,0.9047447193641831,0.016487984299240692
DIS,7,5,0.8233982808688205,0.023368008143613398
DIS,8,5,0.9079283266630013,0.01617608383219759
DIS,9,5,0.8592737419711898,0.020328392177433742
DIS,10,5,0.9220265814483519,0.015048423799737337
WMT,1,5,0.9382382708255355,0.021925466172721945
WMT,2,5,0.9415569687240247,0.021223165784506934
WMT,3,5,0.861921732746372,0.03649952816353942
WMT,4,5,0.9441921586252613,0.02078226778248646
WMT,5,5,0.7872291427962771,0.047799728227526685
WMT,6,5,0.9174636777090734,0.026402912691625625
WMT,7,5,0.9018589607956295,0.029368315258664495
WMT,8,5,0.9330550256958168,0.023296147864640352
WMT,9,5,0.8186584162781707,0.04272864649308674
WMT,10,5,0.8823091478884416,0.033289121755652094
