Close,Volume,Ticker,Trading_Date,Sentiment,SMA_20,RSI_14,Next_Close,Target_Price_Change_Pct,Target_Direction
94.8172378540039,33173800,MSFT,2018-12-31,0.0,97.75640563964846,50.950910683348454,94.39715576171875,-0.004430440094996051,0
94.39715576171875,35329300,MSFT,2019-01-02,0.0,97.30038375854494,50.05646878753867,90.92448425292969,-0.036787882863281655,0
90.92448425292969,42579100,MSFT,2019-01-03,0.0,96.61471786499024,43.29080970202724,95.1532974243164,0.046509069654145016,1
95.1532974243164,44060600,MSFT,2019-01-04,0.0,96.30712432861328,51.829153824874574,95.274658203125,0.0012754237855511252,1
95.274658203125,35656100,MSFT,2019-01-07,0.0,95.97432556152343,52.05227089101907,95.96544647216797,0.007250493279862651,1
95.96544647216797,31514400,MSFT,2019-01-08,0.0,95.88003921508789,53.37603025716899,97.33773040771484,0.014299771282206941,1
97.33773040771484,32280800,MSFT,2019-01-09,0.0,95.7250759124756,55.97625957661042,96.71226501464844,-0.006425724027533241,0
96.71226501464844,30067600,MSFT,2019-01-10,0.0,95.49216346740725,54.48476568359281,95.96544647216797,-0.007722066506945655,0
95.96544647216797,28314200,MSFT,2019-01-11,0.0,95.19903907775881,52.67984314439639,95.26532745361328,-0.007295532343068263,0
95.26532745361328,28437100,MSFT,2019-01-14,0.0,94.85363845825196,50.97500853130972,98.02853393554688,0.029005374313955494,1
98.02853393554688,31587600,MSFT,2019-01-15,0.0,94.8060302734375,56.90304077294997,98.37390899658203,0.0035232094898230153,1
98.37390899658203,29853900,MSFT,2019-01-16,0.0,94.92225227355958,57.59326497902488,99.06472778320312,0.007022378125129662,1
99.06472778320312,28393000,MSFT,2019-01-17,0.0,95.02260551452636,59.0074503380499,100.54901123046875,0.014982965990820519,1
100.54901123046875,37427600,MSFT,2019-01-18,0.0,95.2102424621582,61.94396658440386,98.65399932861328,-0.01884664880007527,0
98.65399932861328,32371300,MSFT,2019-01-22,0.0,95.40488166809081,56.38992910467651,99.61549377441406,0.009746127398222088,1
99.61549377441406,25874300,MSFT,2019-01-23,0.0,95.80069198608398,58.42670730614005,99.139404296875,-0.004779271371351116,0
99.139404296875,23164800,MSFT,2019-01-24,0.0,96.36406784057618,57.00695916813641,100.04490661621094,0.009133626793080095,1
100.04490661621094,31225600,MSFT,2019-01-25,0.0,96.67259407043457,59.045355923617045,98.0938720703125,-0.019501587955726058,0
98.0938720703125,29476700,MSFT,2019-01-28,0.0,96.85462913513184,53.193310949905495,96.09613800048828,-0.020365533826539817,0
96.09613800048828,31490500,MSFT,2019-01-29,0.0,96.97365226745607,47.9525862578029,99.30745697021484,0.033417773456309405,1
99.30745697021484,49471900,MSFT,2019-01-30,0.0,97.19816322326662,55.53612758220568,97.48706817626953,-0.018330836872515015,0
97.48706817626953,55636400,MSFT,2019-01-31,0.0,97.35265884399415,50.9997773645823,95.9467544555664,-0.015800185086272508,0
95.9467544555664,35535700,MSFT,2019-02-01,0.0,97.60377235412598,47.46672583465159,98.70997619628906,0.028799533203619963,1
